h_height,l_px, l_py, l_pz,r_px, r_py, r_pz,w_px, w_py, w_pz,h_rx, h_ry, h_rz, h_rw,l_rx, l_ry, l_rz, l_rw,r_rx, r_ry, r_rz, r_rw,w_rx, w_ry, w_rz, w_rw,h_v,l_vx, l_vy, l_vz,r_vx, r_vy, r_vz,w_vx, w_vy, w_vz,
0.3854118,-0.1572325,-0.3159914,0.2493075,0.109679,0.1390719,0.2118206,0.03364267,-0.3583009,0.05666633,0.8511835,0.05427172,-0.05914972,0.5186932,-0.5532701,0.4441979,0.5144919,0.4815388,0.3950624,0.6711574,-0.2383448,-0.5802296,-0.5953079,-0.05073061,0.03491174,0.8011343,0.9011609,-0.3951634,-0.1744417,-0.1311302,0.1678002,-0.7707975,0.7277668,-0.06478658,-0.2072412,-0.2625789,
0.3900328,-0.1592462,-0.3167342,0.2486482,0.1103531,0.1352058,0.2154045,0.03331095,-0.3593181,0.05538474,0.8471601,0.05342738,-0.06023371,0.5252024,-0.5551412,0.4400118,0.5138678,0.4838899,0.3886089,0.6734176,-0.2375478,-0.5822924,-0.59073,-0.04938892,0.03456844,0.8046144,0.6941773,-0.3025136,-0.1115752,-0.09903067,0.1012781,-0.5807732,0.5383719,-0.04983208,-0.1528126,-0.1925228,
0.3955249,-0.1616383,-0.3174716,0.2478695,0.110928,0.1306584,0.2195388,0.03291963,-0.3604769,0.05393085,0.8423921,0.05251624,-0.06145227,0.532768,-0.5578254,0.4349224,0.5131702,0.4861389,0.3821927,0.6762723,-0.2371559,-0.583389,-0.5854194,-0.04788142,0.03417306,0.8085939,0.8623208,-0.3755846,-0.1157841,-0.1222695,0.09025977,-0.7139947,0.6491352,-0.06144068,-0.1819303,-0.2282768,
0.4009001,-0.1639918,-0.3180781,0.2471014,0.1112553,0.1262009,0.2235019,0.03254183,-0.3615627,0.05257188,0.8377357,0.05171542,-0.06257679,0.5400081,-0.5608424,0.4298562,0.5124788,0.4878996,0.376951,0.6793807,-0.2368671,-0.5833052,-0.5803497,-0.0464881,0.0338003,0.8123366,0.8107111,-0.3549673,-0.09147643,-0.1158412,0.04936001,-0.672303,0.5977298,-0.05698174,-0.163773,-0.2049663,
0.4066135,-0.1665216,-0.3186356,0.246266,0.1113518,0.1213954,0.2276686,0.03214809,-0.3626696,0.05118714,0.8327926,0.05095655,-0.06370371,0.5475419,-0.5643767,0.4244132,0.5116776,0.4894282,0.3722228,0.683155,-0.2361579,-0.58222,-0.5750901,-0.04508642,0.03342056,0.8161631,0.9404111,-0.4163957,-0.09175568,-0.1375182,0.01588617,-0.7909727,0.6858277,-0.06480843,-0.1822016,-0.2279268,
0.4119481,-0.1689219,-0.3191042,0.2454569,0.1112109,0.1167973,0.2315495,0.0317895,-0.3636627,0.04994281,0.8281794,0.05032896,-0.06469653,0.5544375,-0.5679036,0.4193049,0.5108203,0.4906455,0.3683659,0.6872142,-0.234705,-0.5804814,-0.570292,-0.0438438,0.03308238,0.8196042,0.8536294,-0.3840972,-0.07499581,-0.129471,-0.02254142,-0.7357825,0.6210188,-0.05738126,-0.1589095,-0.1991149,
0.4175279,-0.1714839,-0.3195679,0.2445697,0.1108263,0.1118261,0.2356261,0.03142553,-0.364663,0.04868469,0.8233523,0.04975176,-0.06567757,0.5615178,-0.5717563,0.4139605,0.5097656,0.4918045,0.3646966,0.6920978,-0.2319724,-0.578089,-0.5653832,-0.04260537,0.03274679,0.8230761,0.8596831,-0.3947134,-0.07143632,-0.1366785,-0.05925247,-0.7659051,0.6280798,-0.05607622,-0.1541083,-0.1938361,
0.4234152,-0.1742562,-0.3200539,0.243576,0.1102654,0.1063491,0.2399723,0.03105554,-0.365679,0.04739878,0.8182544,0.04922613,-0.06665286,0.5688535,-0.5759318,0.4083469,0.5084316,0.4930047,0.3610578,0.6978685,-0.227424,-0.5752358,-0.56032,-0.0413596,0.032414,0.8266078,0.9391131,-0.4422239,-0.07752217,-0.1585171,-0.08947471,-0.8736683,0.6932831,-0.05901872,-0.1620659,-0.2051233,
0.4291837,-0.1770532,-0.3205502,0.2425328,0.1100789,0.1007041,0.244267,0.03070874,-0.3666378,0.04617433,0.8132506,0.04879036,-0.06755239,0.5759168,-0.5800678,0.402898,0.50686,0.4942562,0.3577791,0.703321,-0.2217048,-0.5728719,-0.5554687,-0.04019334,0.03211067,0.8299448,0.9170387,-0.4446494,-0.07890843,-0.1658332,-0.02965403,-0.8974193,0.6827533,-0.05513285,-0.1524347,-0.194657,
0.4350457,-0.1799887,-0.3210951,0.2413896,0.1100941,0.09470499,0.2486009,0.03037391,-0.3675777,0.0449605,0.8081535,0.04842433,-0.06841273,0.5829775,-0.5842541,0.3974381,0.5049506,0.4956976,0.3546163,0.7088003,-0.2150024,-0.570635,-0.5506456,-0.03905739,0.03182692,0.8332173,0.3035213,-0.1519975,-0.02821107,-0.0591951,0.0007869843,-0.31062,0.2243978,-0.0173369,-0.04866495,-0.06284937,
0.4534292,-0.1878828,-0.3231548,0.2379628,0.1087122,0.07459767,0.2611513,0.02945698,-0.370322,0.04129914,0.7920562,0.04774674,-0.07078856,0.6044474,-0.5964423,0.3818734,0.4978374,0.5005883,0.3445179,0.7286989,-0.1913187,-0.5600927,-0.5361774,-0.03576009,0.03111528,0.8427736,1.528064,-0.6561659,-0.1712099,-0.2848395,-0.1148658,-1.671348,1.043213,-0.07621647,-0.2281089,-0.3043373,
0.4651029,-0.1922514,-0.3243301,0.2358489,0.106755,0.06102257,0.26806,0.02899647,-0.3719212,0.03904481,0.7817146,0.04766302,-0.07206541,0.6176226,-0.6027566,0.3737165,0.4925455,0.5044017,0.3380306,0.7425114,-0.1753474,-0.5510597,-0.5274792,-0.03382899,0.03082193,0.8483347,1.773798,-0.6638072,-0.178573,-0.3212087,-0.2973915,-2.06271,1.049752,-0.06997373,-0.2429896,-0.3425408,
0.4715266,-0.1947129,-0.3248259,0.234619,0.1058893,0.05326639,0.2715994,0.02878895,-0.3727592,0.03781248,0.7759738,0.04770614,-0.07271146,0.6247417,-0.6055655,0.3698173,0.4894395,0.5069279,0.3346167,0.749428,-0.1662963,-0.5465679,-0.5228414,-0.03280504,0.03071969,0.8512446,1.089567,-0.417511,-0.08409516,-0.2086102,-0.1468342,-1.315587,0.6003482,-0.03519962,-0.1421469,-0.2090253,
0.4772501,-0.1968491,-0.325265,0.2335096,0.1052921,0.04613581,0.2746214,0.02863302,-0.3734878,0.03670589,0.7708223,0.04771709,-0.07331732,0.6310161,-0.6075762,0.3665416,0.4868182,0.5094198,0.3316264,0.7550862,-0.1581432,-0.5430111,-0.5187658,-0.03190427,0.03066682,0.8537707,0.8102932,-0.3024302,-0.06216992,-0.1570639,-0.08455489,-1.009496,0.4278311,-0.02207512,-0.1031468,-0.1566631,
0.4840502,-0.1991679,-0.325817,0.2322268,0.1048543,0.03738136,0.2780599,0.02848671,-0.3743322,0.03537424,0.7646512,0.04768919,-0.07409216,0.6383924,-0.6092579,0.3628843,0.4841883,0.5125256,0.3281029,0.761055,-0.1484706,-0.5395383,-0.5139884,-0.03084279,0.03065545,0.8566943,0.5592801,-0.1907059,-0.04539665,-0.1055011,-0.03600223,-0.7200094,0.282802,-0.01203317,-0.06945411,-0.1095215,
0.4958205,-0.2020114,-0.3269227,0.2303395,0.1044833,0.02159534,0.2836297,0.02834621,-0.3757577,0.03303421,0.753806,0.04777871,-0.07558308,0.6509848,-0.609997,0.3573232,0.4820169,0.5175761,0.3225493,0.7697651,-0.1306214,-0.5351285,-0.5057329,-0.0292355,0.0308596,0.8616423,0.9388508,-0.2268104,-0.08819532,-0.1505378,-0.02959396,-1.259165,0.4442737,-0.01120686,-0.1136976,-0.1866517,
0.5082176,-0.2032676,-0.3283654,0.2288872,0.1045537,0.004347192,0.2889879,0.02836496,-0.3772273,0.03051732,0.7421147,0.04826142,-0.07736822,0.6640414,-0.6077292,0.3521587,0.483844,0.5220587,0.3177305,0.7767694,-0.1092412,-0.532676,-0.4969086,-0.02799553,0.03144278,0.8667811,1.982259,-0.2008655,-0.2306845,-0.2322213,0.01125092,-2.757938,0.8567619,0.002997685,-0.2349923,-0.4024439,
0.5144996,-0.2039724,-0.3291821,0.2280789,0.1047556,-0.004520181,0.291537,0.02844317,-0.3779614,0.02921286,0.7360737,0.04866479,-0.07836346,0.6705865,-0.6058867,0.3491218,0.4856319,0.5245742,0.3154592,0.7794237,-0.09750793,-0.5324256,-0.4923751,-0.0275296,0.03188055,0.8693632,1.016198,-0.1140119,-0.1321216,-0.1307549,0.03265678,-1.434409,0.4123557,0.01265215,-0.1187484,-0.2110129,
0.5207659,-0.2047007,-0.3300483,0.2272451,0.1051439,-0.01345359,0.2939824,0.02853081,-0.3786846,0.02791039,0.7299893,0.04912938,-0.07937439,0.6770539,-0.6038052,0.3457409,0.4878958,0.5271067,0.3133527,0.7813811,-0.08512928,-0.532924,-0.4878393,-0.02713685,0.03235294,0.8719117,0.9911418,-0.1151992,-0.1369984,-0.1318886,0.06142136,-1.413,0.3867754,0.01386194,-0.1143814,-0.2060123,
0.5272022,-0.2052646,-0.330908,0.2265473,0.1056725,-0.02267847,0.2963386,0.02848366,-0.3794079,0.02665881,0.7237751,0.04949172,-0.0802556,0.6835641,-0.6015249,0.3420539,0.4908285,0.5293922,0.3116201,0.782748,-0.07166301,-0.5339142,-0.4832956,-0.02669026,0.03264676,0.8744414,1.003578,-0.08791671,-0.1340579,-0.1087975,0.08242061,-1.438376,0.3673965,-0.00735137,-0.1127938,-0.1951511,
0.5337555,-0.2056848,-0.3317385,0.2259871,0.1063158,-0.03211118,0.2985642,0.0282924,-0.3801244,0.02547864,0.7174891,0.04974637,-0.08098764,0.6900551,-0.5992132,0.3380421,0.4943135,0.5313441,0.3103112,0.7835064,-0.05714538,-0.5353132,-0.4787951,-0.02618638,0.03274446,0.8769251,1.04079,-0.06674567,-0.131901,-0.08897766,0.1021763,-1.498112,0.3534683,-0.0303764,-0.1137822,-0.187436,
0.5402112,-0.206008,-0.3325067,0.2255484,0.107033,-0.04143719,0.3005792,0.02797802,-0.3808112,0.02440399,0.7113311,0.049909,-0.08156333,0.6963221,-0.5971059,0.3337825,0.4980852,0.532884,0.3094525,0.7836496,-0.04202429,-0.536998,-0.4744776,-0.0256494,0.03266423,0.8792872,1.002067,-0.05016397,-0.1192435,-0.06808728,0.1113239,-1.447599,0.3127708,-0.04879931,-0.1066054,-0.1668086,
0.5468379,-0.2063082,-0.3332366,0.2251798,0.1078356,-0.051038,0.3024578,0.02754094,-0.3814971,0.02338664,0.7050394,0.05000936,-0.08202206,0.7026315,-0.5952829,0.3290392,0.5021499,0.5340579,0.309002,0.7831891,-0.02563124,-0.5389587,-0.4701577,-0.02506403,0.03242242,0.8816305,1.05247,-0.04768097,-0.1159187,-0.05854864,0.1274632,-1.524834,0.298364,-0.06941898,-0.1089418,-0.1615791,
0.5533335,-0.2066313,-0.3338878,0.2248663,0.1086698,-0.06046926,0.3041059,0.02701514,-0.3821512,0.02246868,0.6988938,0.05006532,-0.08235914,0.7087017,-0.5939891,0.3239734,0.5061728,0.5347974,0.3089756,0.7821475,-0.008680409,-0.5410223,-0.4660251,-0.0244638,0.03205048,0.8838524,1.011013,-0.05028669,-0.1013573,-0.04879076,0.1298532,-1.467923,0.2565173,-0.08183764,-0.1018165,-0.1428757,
0.55998,-0.2070526,-0.33448,0.2245626,0.1095554,-0.07013108,0.3055874,0.02639271,-0.3828023,0.0216061,0.6926211,0.05010207,-0.08260644,0.7148021,-0.5933339,0.3183127,0.5101736,0.5351218,0.3093717,0.7804781,0.009593035,-0.5431873,-0.4618931,-0.02382962,0.03155391,0.8860539,1.023051,-0.0648461,-0.09114968,-0.04674002,0.1363082,-1.487188,0.2280394,-0.09580722,-0.1002142,-0.1327726,
0.5667184,-0.2076363,-0.3349951,0.2242403,0.1104702,-0.07992799,0.3068706,0.02569013,-0.3834435,0.02080551,0.6862706,0.05014111,-0.08277485,0.7208796,-0.5935289,0.3120297,0.5139516,0.5349917,0.3102143,0.7781555,0.02910365,-0.5453396,-0.4577958,-0.02317292,0.0309535,0.8882164,1.016507,-0.08806049,-0.07770453,-0.04861928,0.1380049,-1.477887,0.1935735,-0.1059853,-0.09673055,-0.1207704,
0.5736101,-0.2082677,-0.3354314,0.2239387,0.1114221,-0.08993366,0.3079518,0.02491356,-0.38408,0.02005863,0.6797768,0.05020634,-0.08288071,0.7269897,-0.5946755,0.3052301,0.5174698,0.5342492,0.3114427,0.7750852,0.04987279,-0.5475038,-0.4536923,-0.02249392,0.03026235,0.8903605,1.119241,-0.1025306,-0.07085281,-0.04899051,0.1545885,-1.624957,0.1755905,-0.1261184,-0.1033583,-0.121295,
0.5800256,-0.2085397,-0.3357697,0.2238127,0.1123426,-0.09921642,0.308751,0.02415249,-0.3846549,0.01942391,0.6737259,0.05031038,-0.08293633,0.7325873,-0.5963506,0.2990858,0.5205566,0.5328559,0.3126924,0.771546,0.06941152,-0.5496574,-0.4499442,-0.02186107,0.02957011,0.8922994,0.4955336,-0.02101114,-0.02613415,-0.009734987,0.0710966,-0.7170087,0.06173395,-0.05878543,-0.0444071,-0.04902642,
0.5935511,-0.2082147,-0.3362853,0.2239711,0.1143965,-0.118632,0.3097779,0.02248855,-0.3858129,0.01825837,0.66092,0.05074858,-0.08299147,0.744125,-0.6011623,0.2871886,0.5262293,0.5284039,0.3154416,0.7620037,0.110626,-0.554626,-0.4422387,-0.0205476,0.02804525,0.8962235,2.2119,0.0531455,-0.08432026,0.02591602,0.3358823,-3.175135,0.1679338,-0.2721121,-0.1893831,-0.1906076,
0.5999548,-0.207703,-0.3364382,0.2242064,0.1154276,-0.1277254,0.3099527,0.02170081,-0.3863363,0.01777931,0.6548191,0.05109605,-0.08302227,0.7494724,-0.6037756,0.2822461,0.5284004,0.5259151,0.3167126,0.7565576,0.1298925,-0.5571741,-0.4386692,-0.01994561,0.02733321,0.8980117,1.075771,0.08595948,-0.02567845,0.03951648,0.1732232,-1.527607,0.02935824,-0.1323327,-0.08791452,-0.08047765,
0.6061962,-0.2070231,-0.3365298,0.2245097,0.1164638,-0.1365252,0.3099326,0.02095026,-0.3868313,0.01735193,0.6488402,0.05154269,-0.08307625,0.7546182,-0.6063744,0.2779748,0.530127,0.5234569,0.317893,0.7507187,0.1484031,-0.5597706,-0.4352303,-0.0193769,0.02667039,0.8997157,0.9996446,0.1089043,-0.01466823,0.04858462,0.1659603,-1.4094,-0.00320763,-0.1202119,-0.07928861,-0.06845033,
0.61275,-0.2061474,-0.3365632,0.2248875,0.1175032,-0.1457839,0.3097148,0.02019382,-0.3873359,0.01694104,0.6425197,0.0521424,-0.08317479,0.7599552,-0.6090453,0.2741649,0.531472,0.5209951,0.3191014,0.7440472,0.1677093,-0.5625325,-0.4316553,-0.01880301,0.02602685,0.9014672,1.002949,0.1339999,-0.00512174,0.05781454,0.1590601,-1.416904,-0.03333919,-0.1157613,-0.07722288,-0.06287985,
0.619616,-0.2050863,-0.3365256,0.2253272,0.1184861,-0.1555211,0.3092675,0.01945113,-0.3878482,0.0165475,0.6358432,0.05293161,-0.08334269,0.7654777,-0.6116592,0.2710256,0.5323057,0.5187196,0.3203179,0.7365126,0.1877728,-0.5654097,-0.4279421,-0.01823174,0.02543217,0.9032644,1.111495,0.171788,0.006083682,0.07118535,0.1591249,-1.576274,-0.07240594,-0.1202284,-0.08292816,-0.06370709,
0.626112,-0.2039787,-0.3364171,0.2257649,0.1193225,-0.1647,0.3086318,0.01880975,-0.3883184,0.01620548,0.6294659,0.05384582,-0.08358023,0.7706412,-0.6138487,0.2689663,0.5324918,0.5170114,0.3212908,0.7289742,0.2063877,-0.568132,-0.4244522,-0.01772333,0.02496524,0.9049327,1.024517,0.1746847,0.01712323,0.06902642,0.1319166,-1.447663,-0.1002623,-0.1011563,-0.07416621,-0.05394224,
